PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Jain, AK; Duin, RPW; Mao, JC				Jain, AK; Duin, RPW; Mao, JC			Statistical pattern recognition: A review	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE												The primary goal of pattern recognition is supervised or unsupervised classification. Among the various frameworks in which pattern recognition has been traditionally formulated, the statistical approach has been most intensively studied and used in practice. More recently, neural network techniques and methods imported from statistical learning theory have been receiving increasing attention. The design of a recognition system requires careful attention to the following issues: definition of pattern classes, sensing environment, pattern representation, feature extraction and selection, cluster analysis, classifier design and learning. selection of training and lest samples, and performance evaluation. In spite of almost 50 years of research and development in this field, the general problem of recognizing complex patterns with arbitrary orientation, location, and scale remains unsolved. New and emerging applications, such as data mining. web searching, retrieval of multimedia data, face recognition, and cursive handwriting recognition, require robust and efficient pattern recognition techniques. The objective of this review paper is to summarize and compare some of the well-known methods used in various stages of a pattern recognition system and identify research topics and applications which are at the forefront of this exciting and challenging field.																	0162-8828	1939-3539				JAN	2000	22	1					4	37		10.1109/34.824819						WOS:000085472300002		
S	Viola, P; Jones, M		Jacobs, A; Baldwin, T		Viola, P; Jones, M			Rapid object detection using a boosted cascade of simple features	2001 IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, VOL 1, PROCEEDINGS	PROCEEDINGS - IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION				Conference on Computer Vision and Pattern Recognition	DEC 08-14, 2001	KAUAI, HI	IEEE Comp Soc				This paper describes a machine learning approach for visual object detection which is capable of processing images extremely rapidly and achieving high detection rates. This work is distinguished by three key contributions. The first is the introduction of a new image representation called the "Integral Image" which allows the features used by our detector to be computed very quickly. The second is a learning algorithm, based on AdaBoost, which selects a small number of critical visual features from a larger set and yields extremely efficient classifiers[5]. The third contribution is a method for combining increasingly more complex classifiers in a "cascade" which allows background regions of the image to be quickly discarded while spending more computation on promising object-like regions. The cascade can be viewed as an object specific focus-of-attention mechanism which unlike previous approaches provides statistical guarantees that discarded regions are unlikely to contain the object of interest. In the domain of face detection the system yields detection rates comparable to the best previous systems. Used in real-time applications, the detector runs at 15 frames per second without resorting to image differencing or skin color detection.				anzhi, yue/A-8609-2012													1063-6919		0-7695-1272-0				2001							511	518								WOS:000184694200067		
J	Belkin, M; Niyogi, P				Belkin, M; Niyogi, P			Laplacian eigenmaps for dimensionality reduction and data representation	NEURAL COMPUTATION												One of the central problems in machine learning and pattern recognition is to develop appropriate representations for complex data. We consider the problem of constructing a representation for data lying on a low-dimensional manifold embedded in a high-dimensional space. Drawing on the correspondence between the graph Laplacian, the Laplace Beltrami operator on the manifold, and the connections to the heat equation, we propose a geometrically motivated algorithm for representing the high-dimensional data. The algorithm provides a computationally efficient approach to nonlinear dimensionality reduction that has locality-preserving properties and a natural connection to clustering. Some potential applications and illustrative examples are discussed.																	0899-7667					JUN	2003	15	6					1373	1396		10.1162/089976603321780317						WOS:000182530600005		
J	Huang, GB; Zhu, QY; Siew, CK				Huang, Guang-Bin; Zhu, Qin-Yu; Siew, Chee-Kheong			Extreme learning machine: Theory and applications	NEUROCOMPUTING					8th Brazilian Symposium on Neural Networks	SEP 29-OCT 01, 2004	Sao Luis, BRAZIL	Brazilian Comp Soc, Int Neural Network Soc, SIG INNS Brazil Special Interest Grp				It is clear that the learning speed of feedforward neural networks is in general far slower than required and it has been a major bottleneck in their applications for past decades. Two key reasons behind may be: (1) the slow gradient-based learning algorithms are extensively used to train neural networks, and (2) all the parameters of the networks are tuned iteratively by using such learning algorithms. Unlike these conventional implementations, this paper proposes a new learning algorithm called extreme learning machine (ELM) for single-hidden layer feedforward neural networks (SLFNs) which randomly chooses hidden nodes and analytically determines the output weights of SLFNs. In theory, this algorithm tends to provide good generalization performance at extremely fast learning speed. The experimental results based on a few artificial and real benchmark function approximation and classification problems including very large complex applications show that the new algorithm can produce good generalization performance in most cases and can learn thousands of times faster than conventional popular learning algorithms for feedforward neural networks.(I) (c) 2006 Elsevier B.V. All rights reserved.				Huang, Guang-Bin/A-5035-2011; Siew, CK/A-5082-2011	Huang, Guang-Bin/0000-0002-2480-4965; 												0925-2312	1872-8286				DEC	2006	70	1-3					489	501		10.1016/j.neucom.2005.12.126						WOS:000242602300047		
J	Hinton, GE; Osindero, S; Teh, YW				Hinton, Geoffrey E.; Osindero, Simon; Teh, Yee-Whye			A fast learning algorithm for deep belief nets	NEURAL COMPUTATION												We show how to use "complementary priors" to eliminate the explaining-away effects that make inference difficult in densely connected belief nets that have many hidden layers. Using complementary priors, we derive a fast, greedy algorithm that can learn deep, directed belief networks one layer at a time, provided the top two layers form an undirected associative memory. The fast, greedy algorithm is used to initialize a slower learning procedure that fine-tunes the weights using a contrastive version of the wake-sleep algorithm. After fine-tuning, a network with three hidden layers forms a very good generative model of the joint distribution of handwritten digit images and their labels. This generative model gives better digit classification than the best discriminative learning algorithms. The low-dimensional manifolds on which the digits lie are modeled by long ravines in the free-energy landscape of the top-level associative memory, and it is easy to explore these ravines by using the directed connections to display what the associative memory has in mind.				Teh, Yee Whye/C-3400-2008; anzhi, yue/A-8609-2012													0899-7667					JUL	2006	18	7					1527	1554		10.1162/neco.2006.18.7.1527						WOS:000237698100002	16764513	
J	Chang, CC; Lin, CJ				Chang, Chih-Chung; Lin, Chih-Jen			LIBSVM: A Library for Support Vector Machines	ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY												LIBSVM is a library for Support Vector Machines (SVMs). We have been actively developing this package since the year 2000. The goal is to help users to easily apply SVM to their applications. LIBSVM has gained wide popularity in machine learning and many other areas. In this article, we present all implementation details of LIBSVM. Issues such as solving SVM optimization problems theoretical convergence multiclass classification probability estimates and parameter selection are discussed in detail.					Lin, Chih-Jen/0000-0003-4684-8747												2157-6904	2157-6912					2011	2	3			SI				27	10.1145/1961189.1961199						WOS:000208617000010		
J	Smola, AJ; Scholkopf, B				Smola, AJ; Scholkopf, B			A tutorial on support vector regression	STATISTICS AND COMPUTING												In this tutorial we give an overview of the basic ideas underlying Support Vector (SV) machines for function estimation. Furthermore, we include a summary of currently used algorithms for training SV machines, covering both the quadratic (or convex) programming part and advanced methods for dealing with large datasets. Finally, we mention some modifications and extensions that have been applied to the standard SV algorithm, and discuss the aspect of regularization from a SV perspective.				Scholkopf, Bernhard/A-7570-2013													0960-3174	1573-1375				AUG	2004	14	3					199	222		10.1023/B:STCO.0000035301.49549.88						WOS:000222770200003		
J	Sebastiani, F				Sebastiani, F			Machine learning in automated text categorization	ACM COMPUTING SURVEYS												The automated categorization (or classification) of texts into predefined categories has witnessed a booming interest in the last 10 years, due to the increased availability of documents in digital form and the ensuing need to organize them. In the research community the dominant approach to this problem is based on machine learning techniques: a general inductive process automatically builds a classifier by learning, from a set of preclassified documents, the characteristics of the categories. The advantages of this approach over the knowledge engineering approach (consisting in the manual definition of a classifier by domain experts) are a very good effectiveness, considerable savings in terms of expert labor power, and straightforward portability to different domains. This survey discusses the main approaches to text categorization that fall within the machine learning paradigm. We will discuss in detail issues pertaining to three different problems, namely, document representation, classifier construction, and classifier evaluation.				Sebastiani, Fabrizio/C-9501-2015	Sebastiani, Fabrizio/0000-0003-4221-6427												0360-0300	1557-7341				MAR	2002	34	1					1	47		10.1145/505282.505283						WOS:000175267600001		
J	Tipping, ME				Tipping, ME			Sparse Bayesian learning and the relevance vector machine	JOURNAL OF MACHINE LEARNING RESEARCH												This paper introduces a general Bayesian framework for obtaining sparse solutions to regression and classification tasks utilising models linear in the parameters. Although this framework is fully general, we illustrate our approach with a particular specialisation that we denote the 'relevance vector machine' (RVM), a model of identical functional form to the popular and state-of-the-art 'support vector machine' (SVM). We demonstrate that by exploiting a probabilistic Bayesian learning framework, we can derive accurate prediction models which typically utilise dramatically fewer basis functions than a comparable SVM while offering a number of additional advantages. These include the benefits of probabilistic predictions, automatic estimation of 'nuisance' parameters, and the facility to utilise arbitrary basis functions (e.g. non-'Mercer' kernels). We detail the Bayesian framework and associated learning algorithm for the RVM, and give some illustrative examples of its application along with some comparative benchmarks. We offer some explanation for the exceptional degree of sparsity obtained, and discuss and demonstrate some of the advantageous features, and potential extensions, of Bayesian relevance learning.																	1532-4435					SUM	2001	1	3					211	244		10.1162/15324430152748236						WOS:000173336900003		
J	Pedregosa, F; Varoquaux, G; Gramfort, A; Michel, V; Thirion, B; Grisel, O; Blondel, M; Prettenhofer, P; Weiss, R; Dubourg, V; Vanderplas, J; Passos, A; Cournapeau, D; Brucher, M; Perrot, M; Duchesnay, E				Pedregosa, Fabian; Varoquaux, Gaeel; Gramfort, Alexandre; Michel, Vincent; Thirion, Bertrand; Grisel, Olivier; Blondel, Mathieu; Prettenhofer, Peter; Weiss, Ron; Dubourg, Vincent; Vanderplas, Jake; Passos, Alexandre; Cournapeau, David; Brucher, Matthieu; Perrot, Matthieu; Duchesnay, Edouard			Scikit-learn: Machine Learning in Python	JOURNAL OF MACHINE LEARNING RESEARCH												Scikit-learn is a Python module integrating a wide range of state-of-the-art machine learning algorithms for medium-scale supervised and unsupervised problems. This package focuses on bringing machine learning to non-specialists using a general-purpose high-level language. Emphasis is put on ease of use, performance, documentation, and API consistency. It has minimal dependencies and is distributed under the simplified BSD license, encouraging its use in both academic and commercial settings. Source code, binaries, and documentation can be downloaded from http://scikit-learn.sourceforge.net.				Louppe, Gilles/D-1923-2017	Louppe, Gilles/0000-0002-2082-3106; Varoquaux, Gael/0000-0003-1076-5122												1532-4435					OCT	2011	12						2825	2830								WOS:000298103200003		
J	Friedman, J; Hastie, T; Tibshirani, R				Friedman, J; Hastie, T; Tibshirani, R			Additive logistic regression: A statistical view of boosting	ANNALS OF STATISTICS												Boosting is one of the most important recent developments in classification methodology. Boosting works by sequentially applying a classification algorithm to reweighted Versions of the training data and then taking a weighted majority vote of the sequence of classifiers thus produced. For many classification algorithms, this simple strategy results in dramatic improvements in performance. We show that this seemingly mysterious phenomenon can be understood in terms of well-known statistical principles, namely additive modeling and maximum likelihood. For the two-class problem, boosting can be viewed as an approximation to additive modeling on the logistic scale using maximum Bernoulli likelihood as a criterion. We develop more direct approximations and show that they exhibit nearly identical results to boosting. Direct multiclass generalizations based on multinomial likelihood are derived that exhibit performance comparable to other recently proposed multiclass generalizations of boosting in most situations, and far superior in some. We suggest a minor modification to boosting that can reduce computation, often by factors of 10 to 50. Finally, we apply these insights to produce an alternative formulation of boosting decision trees. This approach, based on best-first truncated tree induction, often leads to better performance, and can provide interpretable descriptions of the aggregate decision rule. It is also much faster computationally, making it more suitable to large-scale data mining applications.				anzhi, yue/A-8609-2012													0090-5364					APR	2000	28	2					337	374		10.1214/aos/1016218223						WOS:000089669700001		
J	Fan, RE; Chang, KW; Hsieh, CJ; Wang, XR; Lin, CJ				Fan, Rong-En; Chang, Kai-Wei; Hsieh, Cho-Jui; Wang, Xiang-Rui; Lin, Chih-Jen			LIBLINEAR: A Library for Large Linear Classification	JOURNAL OF MACHINE LEARNING RESEARCH												LIBLINEAR is an open source library for large-scale linear classification. It supports logistic regression and linear support vector machines. We provide easy-to-use command-line tools and library calls for users and developers. Comprehensive documents are available for both beginners and advanced users. Experiments demonstrate that LIBLINEAR is very efficient on large sparse data sets.					Lin, Chih-Jen/0000-0003-4684-8747												1532-4435					AUG	2008	9						1871	1874								WOS:000262636800009		
J	Kaelbling, LP; Littman, ML; Moore, AW				Kaelbling, LP; Littman, ML; Moore, AW			Reinforcement learning: A survey	JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH												This paper surveys the field of reinforcement learning from a computer-science perspective. It is written to be accessible to researchers familiar with machine learning. Both the historical basis of the field and a broad selection of current work are summarized. Reinforcement learning is the problem faced by an agent that learns behavior through trial-and-error interactions with a dynamic environment. The work described here has a resemblance to work in psychology, but differs considerably in the details and in the use of the word ''reinforcement.'' The paper discusses central issues of reinforcement learning, including trading off exploration and exploitation, establishing the foundations of the field via Markov decision theory, learning from delayed reinforcement, constructing empirical models to accelerate learning, making use of generalization and hierarchy, and coping with hidden state. It concludes with a survey of some implemented systems and an assessment of the practical utility of current methods for reinforcement learning.																	1076-9757						1996	4						237	285								WOS:A1996UJ31200001		
